entry,language,meaning_1,meaning_2,mark,split
tayfa,Azeri,племя,племенной племенной быт лингв племенной язык,0,train
slaptas,Lithuanian,тайный,секретный,0,train
բամբասամոլ,Armenian,Любящий сплетничать,Заядлый сплетник,0,train
kort,Danish,географическая карта,платежная карточка,0,train
усатув,Nogai,уподоблять делать похожим на кого что л,принимать за кого л,0,train
išstumti,Lithuanian,вытеснять,выталкивать,0,train
тегиссизлик,Nogai,полит неравенство,неравномерность,0,train
ὑγιεινός,Ancient greek,здоровый полезный для здоровья,здоровый пользующийся здоровьем,0,train
triekt,Latvian,ударить стукнуть,гнать прогонять,1,train
vedtage,Danish,принимать решать утверждать,согласиться на чтол,0,train
εὔεδρος,Ancient greek,восседающий на прекрасном троне,с удобным для сидения хребтом,0,train
адавын,Osetian,вынести отнести,украсть похитить обокрасть,1,train
holde,Danish,держать содержать соблюдать,сдерживать останавливать останавливаться,0,train
təlaş,Azeri,волнение беспокойство тревога смятение испытывать волнение,волноваться беспокоиться,0,train
anvisie,Danish,предоставлять чтол,указывать,0,train
erzeliuoti,Lithuanian,шуметь,бурчать,0,train
κατακαλέω,Ancient greek,звать вызывать звать к себе,призывать на помощь,0,train
anllyfn,Welsh,"not smooth, rough, uneven, unpolished","rough, rude, uncouth",1,train
lops,Latvian,животное,скот породистый скот скотный двор хлев,0,train
forsømmelse,Danish,упущение,прогул неявка,0,train
spenne,Norwegian,натягивать натянуть,от распрягать,0,train
səhərki,Azeri,завтрашний назначенный запланированный на завтра ожидаемый завтра завтрашняя встреча,утренний происшедший бывший в прошедшее утро утренний шум гам,1,train
хабарсыз,Nogai,не имеющий сведений неизвещённый,неосведомлённый некомпетентный,0,train
isi-sulu,Zulu,одиночество,личное дело,0,train
tårevædet,Danish,со следами слёз,заплаканный,0,train
,Nogai,угнетать притеснять,мучить причинять страдания,0,train
crynfa,Welsh,"trembling, tremor","shiver, shock",0,train
trening,Norwegian,тренировка,боевая подготовка,0,train
şaxəlilik,Azeri,ветвистость свойство ветвистого,кустистость,0,train
uzdevums,Latvian,задача сборник задач задачник,задание поручение дать поручение по чьему л поручению,0,train
գինեհան,Armenian,Черпак ковш для вина,Шланг для переливания вина,0,train
խանդագին,Armenian,Умильный нежный ласковый,Воодушевлённый восторженный,0,train
իսկի,Armenian,Совсем вовсе вовсе совсем,Когда-нибудь,0,train
qrafit,Azeri,графитный графитные щетки,графитовый графитовый электрод графитовый порошок графитовые руды,0,train
це́бла,Botlih,еще еще один,другой,0,train
griezt,Latvian,вертеть вращать ворочать крутить вращать колесо,резать резать хлеб стричь волосы,1,train
бу́ххир,Botlih,появление возникновение,восхождение восход,1,train
måken,Norwegian,ремесленник сапожник йгтакег часовщйкзь седёлыцика,лицо склонное к неодобр скандалйст вЫдумщик вральь элемент т,1,train
ашык,Nogai,открытый раскрытый растворённый распахнутый,ясный яркий свет лый о цвете погоде,1,train
khathaza,Zulu,утомлять доводить до усталости,беспокоить отвлекать,1,train
кагыт,Nogai,бумага,бумаги документы,1,train
udtræk,Danish,вытяжка экстракт,тираж розыгрыш,0,train
geriləmək,Azeri,отставать отстать,изменять чему л нарушать что л отступать от обещания,1,train
arabir,Azeri,иногда изредка иногда навстречу ему попадались знакомые,временами время от времени порою мать временами исподлобья смотрела на сына порой нам бывает трудно,0,train
զգայամոլություն,Armenian,Эротичность эротика,Эротомания,0,train
optagelse,Danish,приём принятие,уборка сбор овощей напр,0,train
къвара́ла:,Botlih,вволю вдоволь,сколько угодно,0,train
izveidot,Latvian,образовать создать создавать,вылепить вылеплять изваять,1,train
bağara,Azeri,катушка нитки из катушки две катушки ниток,привод устройство для приведения в движение механизма,0,train
pieslieties,Latvian,прислониться прислоняться р прислониться к стене,перен примкнуть примыкать,1,train
parakstīt,Latvian,подписать подписывать р подписать договор,прописать прописывать,0,train
i-ya,Zulu,прилив,пустяк чепуха вздор,1,train
kollektion,Danish,коллекция ассортимент товара,контора по распространению лотерейных билетов,0,train
διά,Ancient greek,через сквозь,слышавшие и до сих пор слышащие то же самое,0,train
շարական,Armenian,Шаракан армянское церковное песнопение,Сборник армянских церковных песнопений,0,train
subyekt,Azeri,субъект,лингв подлежащее а также вообще грамматическая форма обозначающая деятеля,0,train
um-thambo,Zulu,кровеносный сосуд,суть существо дела,1,train
դեղ,Armenian,Лекарство,лечить исцелить исцелять,0,train
æхсад,Osetian,мытый,стираный,0,train
ἐκκενόω,Ancient greek,делать пустым очищать от людей,опустошать,0,train
in-khonzo,Zulu,служба,церковная служба,1,train
агуыр-гуыр,Osetian,погреметь погрохотать,хлынуть,0,train
դիվանոց,Armenian,Обиталище бесов,Логово,0,train
gulh,Norwegian,серебряный серебристый карась,крупинка золота,1,train
betaling,Danish,плата оплата платёж,гонорар вознаграждение,0,train
i,Norwegian,положёние,положение обстановка,0,train
дзыгуыр,Osetian,толпа сборище скопление,кучка группа,0,train
μετέωρος,Ancient greek,высоко поднимающийся высокий,находящийся в открытом море,0,train
vuruşma,Azeri,драка свалка здесь будет большая драка,бой сражение закалиться в сражениях,0,train
išskėsti,Lithuanian,раздвигать,распускать (крылья),0,train
ἀμφιθαλής,Ancient greek,процветающий с обеих сторон т е имеющий в живых обоих родителей,изобилующий т е отягощенный,0,train
i-findo,Zulu,узел,трудность,1,train
trakas,Lithuanian,прогалина,подлесок,0,train
